0,The journey from concealment to disclosure of an obsessive-compulsive disorder diagnosis in the high school setting: A qualitative study exploring youth perspectives,2-s2.0-85165664158,2023,"Vallani, Tanisha I.;Naqqash, Zainab;Lin, Boyee;Lu, Cynthia;Austin, Jehannine C.;Stewart, S. Evelyn",Austin,Jehannine C.,7402093250,0,0,0,0,0,0
1,Exploring Autistic adults’ perspectives on genetic testing for autism,2-s2.0-85163799375,2023,"Byres, Loryn;Morris, Emily;Austin, Jehannine",Austin,Jehannine C.,7402093250,0,0,0,0,0,1
2,"Child and adolescent psychiatrists’ use, attitudes, and understanding of genetic testing and pharmacogenetics in clinical practice",2-s2.0-85158872458,2023,"Soda, Takahiro;Merner, Amanda R.;Small, Brent J.;Torgerson, Laura N.;Muñoz, Katrina;Austin, Jehannine;Storch, Eric A.;Pereira, Stacey;Lázaro-Muñoz, Gabriel",Austin,Jehannine C.,7402093250,0,0,0,0,0,0
3,"The impact of receiving polygenic risk scores for alcohol use disorder on psychological distress, risk perception, and intentions to reduce drinking",2-s2.0-85149406763,2023,"Driver, Morgan N.;Kuo, Sally I.Chun;Dron, Jacqueline S.;Austin, Jehannine;Dick, Danielle M.",Austin,Jehannine C.,7402093250,0,0,0,0,0,1
4,Clinical genetic counseling and translation considerations for polygenic scores in personalized risk assessments: A Practice Resource from the National Society of Genetic Counselors,2-s2.0-85146083826,2023,"Wand, Hannah;Kalia, Sarah S.;Helm, Benjamin M.;Suckiel, Sabrina A.;Brockman, Deanna;Vriesen, Natalie;Goudar, Ranjit K.;Austin, Jehannine;Yanes, Tatiane",Austin,Jehannine C.,7402093250,0,0,0,0,0,0
5,Both sides now: Changing a long-standing pedigree tradition of men on the left and women on the right,2-s2.0-85144146495,2023,"Resta, Robert G.;French, Kathryn Steinhaus;Bennett, Robin L.;Austin, Jehannine",Austin,Jehannine C.,7402093250,0,0,0,0,0,0
6,Pharmacogenomic Testing for Major Depression: A Qualitative Study of the Perceptions of People with Lived Experience and Professional Stakeholders,2-s2.0-85143210306,2023,"Slomp, Caitlin;Morris, Emily;Edwards, Louisa;Hoens, Alison M.;Landry, Ginny;Riches, Linda;Ridgway, Lisa;Bryan, Stirling;Austin, Jehannine",Austin,Jehannine C.,7402093250,0,0,0,0,0,3
7,Evaluation of out-of-pocket pay genetic testing in a publicly funded healthcare system,2-s2.0-85145751835,2023,"Grant, Peter;Cook, Courtney B.;Langlois, Sylvie;Nuk, Jennifer;Mung, Sze Wing;Zhang, Qian;Lynd, Larry D.;Austin, Jehannine;Elliott, Alison M.",Austin,Jehannine C.,7402093250,0,0,0,0,0,0
8,Healthcare decision makers' perspectives on the creation of new genetic counselor positions in North America: Exploring the case for psychiatric genetic counseling,2-s2.0-85144022950,2023,"Chanouha, Nour;Cragun, Deborah L.;Pan, Vivian Y.;Austin, Jehannine C.;Hoell, Christin",Austin,Jehannine C.,7402093250,0,0,0,0,0,1
9,Psychiatric genetic counseling: A survey of Australian genetic counselors' practice and attitudes,2-s2.0-85144019969,2023,"Isbister, Joanne;Sexton, Adrienne;Forrest, Laura E.;James, Paul;Dowty, James;Taylor, Jessica;Austin, Jehannine;Winship, Ingrid",Austin,Jehannine C.,7402093250,0,0,0,0,0,0
10,Considerations for the use of qualitative methodologies in genetic counseling research,2-s2.0-85140252179,2023,"Wainstein, Tasha;Elliott, Alison M.;Austin, Jehannine C.",Austin,Jehannine C.,7402093250,0,0,0,0,0,4
11,A qualitative study exploring the consumer experience of receiving self-initiated polygenic risk scores from a third-party website,2-s2.0-85139203605,2023,"Lowes, Kiara;Borle, Kennedy;Folkersen, Lasse;Austin, Jehannine",Austin,Jehannine C.,7402093250,0,0,0,0,0,1
12,Integrating Theory with Education about Genetic Risk for Alcohol Use Disorder: The Effects of a Brief Online Educational Tool on Elements of the Health Belief Model,2-s2.0-85163880733,2023,"Driver, Morgan N.;Kuo, Sally I.Chun;Austin, Jehannine;Dick, Danielle M.",Austin,Jehannine C.,7402093250,0,0,0,0,0,0
13,Evaluating treatment outcomes in pharmacogenomic-guided care for major depression: A rapid review and meta-analysis,2-s2.0-85147875845,2023,"Bunka, Mary;Wong, Gavin;Kim, Dan;Edwards, Louisa;Austin, Jehannine;Doyle-Waters, Mary M.;Gaedigk, Andrea;Bryan, Stirling",Austin,Jehannine C.,7402093250,0,0,0,0,0,2
14,Research priorities in psychiatric genetic counselling: how to talk to children and adolescents about genetics and psychiatric disorders,2-s2.0-85144526088,2023,"Mundy, Jessica;Davies, Helena L.;Radu, Mădălina;Austin, Jehannine;Vassos, Evangelos;Eley, Thalia C.;Breen, Gerome;Moldovan, Ramona",Austin,Jehannine C.,7402093250,0,0,0,0,0,0
15,Using Rasch measurement theory to explore the fitness for purpose of the genetic counseling outcome scale: a tale of two scales,2-s2.0-85142273608,2023,"Borle, Kennedy;Austin, Jehannine;Barbic, Skye",Austin,Jehannine C.,7402093250,0,0,0,0,0,2
16,"Relationships Between Maternal Perinatal Mood, Sex of Infant, and Disappointment with Sex of Infant in a North American Sample",2-s2.0-85145716829,2023,"Slomp, C.;Morris, E.;Hippman, C.;Inglis, A.;Carrion, P.;Batallones, R.;Andrighetti, H.;Albert, A.;Austin, J.",Austin,Jehannine C.,7402093250,0,0,0,0,0,0
17,The experiences of adolescent siblings of children with rare genetic conditions: “It's made me who I am”,2-s2.0-85138282295,2023,"Heaton, Julia;Wainstein, Tasha;Elliott, Alison M.;Austin, Jehannine",Austin,Jehannine C.,7402093250,0,0,0,0,0,1
18,Examining the effect of patient personality types and coping styles on outcomes of genetic counseling,2-s2.0-85135147933,2023,"Salman, Areesha;Morris, Emily;Inglis, Angela;Austin, Jehannine",Austin,Jehannine C.,7402093250,0,0,0,0,0,2
